paso,n,no_indexables,mrr@10,ms_busqueda,ms_reescritura,fallos_reescritura,reintentos_reescritura,usd_reescritura,aciertos@1,recall@1,aciertos@3,recall@3,aciertos@5,recall@5,aciertos@10,recall@10
0_denso,13,0,0.038461538461538464,79.61884615384616,0.0,0,0,0.0,0/13,0.0,0/13,0.0,2/13,0.15384615384615385,2/13,0.15384615384615385
1_filtro,13,0,0.29615384615384616,85.74584615384614,0.0,0,0,0.0,3/13,0.23076923076923078,4/13,0.3076923076923077,4/13,0.3076923076923077,7/13,0.5384615384615384
2_bm25,13,0,0.24175824175824176,82.24338461538461,0.0,0,0,0.0,2/13,0.15384615384615385,3/13,0.23076923076923078,5/13,0.38461538461538464,6/13,0.46153846153846156
3_reescritura,13,0,0.26282051282051283,196.0106153846154,2238.765384615385,0,0,0.0,2/13,0.15384615384615385,4/13,0.3076923076923077,5/13,0.38461538461538464,7/13,0.5384615384615384
d_solo_bm25,13,0,0.13598901098901098,0.947076923076923,0.0,0,0,0.0,1/13,0.07692307692307693,1/13,0.07692307692307693,2/13,0.15384615384615385,7/13,0.5384615384615384
d_rw_oraculo,13,0,0.375,196.83961538461537,2238.765384615385,0,0,0.0,3/13,0.23076923076923078,5/13,0.38461538461538464,6/13,0.46153846153846156,10/13,0.7692307692307693
