paso,n,no_indexables,mrr@10,ms_busqueda,ms_reescritura,fallos_reescritura,reintentos_reescritura,usd_reescritura,aciertos@1,recall@1,aciertos@3,recall@3,aciertos@5,recall@5,aciertos@10,recall@10
0_denso,13,0,0.038461538461538464,17.412153846153846,0.0,0,0,0.0,0/13,0.0,0/13,0.0,2/13,0.15384615384615385,2/13,0.15384615384615385
1_filtro,13,0,0.29615384615384616,17.30853846153846,0.0,0,0,0.0,3/13,0.23076923076923078,4/13,0.3076923076923077,4/13,0.3076923076923077,7/13,0.5384615384615384
2_bm25,13,0,0.24175824175824176,17.997307692307693,0.0,0,0,0.0,2/13,0.15384615384615385,3/13,0.23076923076923078,5/13,0.38461538461538464,6/13,0.46153846153846156
3_reescritura,13,0,0.41611721611721614,34.315769230769234,92800.60153846155,0,0,0.0,4/13,0.3076923076923077,7/13,0.5384615384615384,7/13,0.5384615384615384,9/13,0.6923076923076923
d_solo_bm25,13,0,0.13598901098901098,0.41815384615384615,0.0,0,0,0.0,1/13,0.07692307692307693,1/13,0.07692307692307693,2/13,0.15384615384615385,7/13,0.5384615384615384
d_rw_oraculo,13,0,0.4371794871794872,34.631692307692305,92800.60153846155,0,0,0.0,4/13,0.3076923076923077,7/13,0.5384615384615384,8/13,0.6153846153846154,9/13,0.6923076923076923
