paso,n,no_indexables,mrr@10,ms_busqueda,ms_reescritura,fallos_reescritura,usd_reescritura,aciertos@1,recall@1,aciertos@3,recall@3,aciertos@5,recall@5,aciertos@10,recall@10
0_denso,13,0,0.038461538461538464,79.21653846153846,0.0,0,0.0,0/13,0.0,0/13,0.0,2/13,0.15384615384615385,2/13,0.15384615384615385
1_filtro,13,0,0.29615384615384616,85.4706923076923,0.0,0,0.0,3/13,0.23076923076923078,4/13,0.3076923076923077,4/13,0.3076923076923077,7/13,0.5384615384615384
2_bm25,13,0,0.24175824175824176,80.33430769230769,0.0,0,0.0,2/13,0.15384615384615385,3/13,0.23076923076923078,5/13,0.38461538461538464,6/13,0.46153846153846156
3_reescritura,13,0,0.010989010989010988,84.841,129.80846153846153,13,,0/13,0.0,0/13,0.0,0/13,0.0,1/13,0.07692307692307693
d_solo_bm25,13,0,0.13598901098901098,0.9126923076923077,0.0,0,0.0,1/13,0.07692307692307693,1/13,0.07692307692307693,2/13,0.15384615384615385,7/13,0.5384615384615384
d_rw_oraculo,13,0,0.24175824175824176,76.63461538461539,129.80846153846153,13,,2/13,0.15384615384615385,3/13,0.23076923076923078,5/13,0.38461538461538464,6/13,0.46153846153846156
